#{"t_start": 1768400364.4744728, "env_id": "LunarLander-v3"}
r,l,t
87.91096,1000,131.921501
48.48453,1000,132.848829
108.788579,1000,134.958009
74.35907,1000,136.056338
169.61455,686,136.511948
198.091949,689,138.40778
168.310689,574,138.872115
83.235341,1000,139.942389
65.502005,1000,142.27186
21.706603,1000,142.942267
-118.540995,657,144.92199
101.941109,760,145.547404
63.066726,1000,148.285576
85.127013,1000,149.359945
73.367574,1000,151.860698
38.60635,1000,152.822001
-134.628761,710,153.417013
-75.076522,616,155.291201
99.967895,1000,156.07556
121.254492,1000,158.298788
211.753193,568,158.686125
97.456683,1000,160.980747
39.877052,1000,162.147631
93.913719,1000,163.158078
47.534756,1000,166.016907
70.578769,1000,167.046892
-71.731577,561,169.217363
133.012791,1000,170.215234
120.750822,1000,172.869236
46.452962,1000,173.887561
98.037094,1000,176.253059
64.545615,1000,177.300131
191.921583,531,177.64409
93.549955,1000,179.996418
-13.04546,332,180.17202
168.758618,563,180.6499
76.695752,1000,182.937209
-10.930117,459,183.216945
111.461517,1000,185.700395
-4.12627,407,185.941103
119.619534,1000,186.763952
-37.022229,345,186.929689
114.154682,1000,189.482203
-46.519016,460,189.791441
191.858597,983,192.371939
99.933137,1000,193.389275
-14.337937,404,193.652184
231.823973,605,195.591531
-68.260047,526,195.874531
190.594692,577,196.398529
68.409777,1000,198.523665
192.134424,570,198.922384
186.165522,523,199.303384
164.500614,577,199.739743
208.627747,519,201.64002
-64.464877,431,201.907022
190.401228,601,202.365019
199.63689,510,202.724355
7.772658,398,204.400451
-17.871805,411,204.651839
209.04377,553,205.101826
206.813786,460,205.431827
-66.072044,474,207.267244
214.155115,503,207.607643
-72.693765,422,207.828641
-60.836023,496,208.109628
167.740406,543,209.901818
-19.348752,512,210.195819
221.979058,510,210.586077
215.492737,554,211.000076
192.98765,475,212.868287
188.518771,523,213.295309
199.932457,632,213.810014
151.872788,606,214.204014
200.72414,542,216.112256
207.096203,496,216.460256
209.785354,514,216.866917
197.846954,492,217.228929
12.769334,400,218.906182
230.340119,414,219.187182
220.918898,422,219.463182
206.974483,443,219.73959
221.02044,540,220.098577
198.953824,462,221.964765
186.723939,479,222.318765
228.881651,445,222.66904
210.160457,477,223.057053
-34.805133,323,224.808244
213.811255,495,225.211245
198.87809,400,225.500958
132.739078,715,226.117602
