#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-14.670136,232,50.576404
65.450327,1000,52.958527
-13.57974,165,53.030322
-51.253176,190,53.118322
-53.15472,211,53.216322
-54.015205,208,53.311322
-180.351619,515,53.613322
-66.986376,214,53.708322
-46.062846,233,55.278528
-0.541275,1000,56.297823
-6.53966,1000,57.583114
-5.975955,193,59.133336
-23.528507,288,59.295321
-179.250491,424,59.520335
-104.485448,329,59.697323
-218.059546,371,59.907322
-110.054139,338,60.090774
-180.477638,707,62.065091
21.302401,1000,62.89209
-135.165989,454,63.176403
60.723569,1000,65.568886
-203.162554,589,65.895887
6.954938,357,66.081347
-106.101586,636,68.020743
72.316365,1000,68.813742
-41.901178,242,68.922482
-92.875021,283,69.060065
-42.326519,398,70.774166
77.858083,1000,71.584554
52.218832,1000,73.851793
-56.058948,352,74.050066
-49.619137,330,74.235079
-32.532032,378,74.456067
-38.930384,421,74.707067
55.934902,1000,77.199722
-98.644018,390,77.430722
-7.524165,255,77.549737
-85.777415,308,77.703735
52.606134,1000,80.029433
21.270545,1000,80.766433
-163.761814,434,82.484942
62.010224,1000,83.420308
-86.732421,431,83.662309
-161.053305,535,83.998588
-83.004262,335,85.648674
89.689136,1000,86.615501
41.341718,1000,89.171231
-124.189233,409,89.412231
43.801689,1000,90.45852
79.892654,1000,92.792715
138.414865,790,93.523139
-207.859685,624,93.903138
52.283522,1000,96.600882
-105.991133,227,96.702882
43.800469,1000,98.936294
-132.499278,520,99.277695
43.51452,1000,100.130072
59.775972,1000,102.409926
-107.407944,441,102.66291
-141.727617,352,102.87391
20.548918,1000,105.187895
126.025739,467,105.537872
-149.03049,441,105.801872
100.354584,1000,108.217439
-90.708857,413,108.460439
110.748104,485,108.799439
-129.761246,468,109.133915
-90.176183,287,109.283904
24.395632,1000,112.056473
-230.264186,746,112.504475
103.107679,956,114.621658
-90.490782,283,114.773658
-113.21314,330,114.950403
-151.971217,360,115.15924
-89.84527,278,115.29924
-96.077362,359,116.96955
47.15903,1000,117.939188
167.341517,520,118.326894
-108.642538,364,118.533895
-145.491501,461,120.290112
140.927494,637,120.96079
95.378697,568,121.389592
-139.084865,572,123.140785
-13.675138,1000,123.982191
142.591892,698,124.505191
-137.672882,522,126.343432
-186.865706,1000,127.187827
-201.494676,639,127.695829
-120.925281,355,129.367076
-86.085151,409,129.596073
17.063487,1000,131.068285
152.949282,795,133.222918
125.790053,1000,134.119432
144.106035,647,134.646433
-27.60198,1000,136.853624
24.709212,1000,137.573234
-170.13371,644,139.401443
-147.283965,1000,140.504697
-130.43096,681,142.575919
-151.609224,1000,143.535346
-117.649821,405,143.761332
-89.657383,252,143.875332
-207.195191,707,145.78968
-115.743112,365,145.988067
-211.547519,698,146.471079
-153.93157,1000,149.241741
96.017391,794,150.111031
-159.117029,1000,152.761167
-110.727744,1000,153.601573
-145.325341,663,154.153337
-89.976452,318,155.800493
-105.641238,1000,156.561968
-92.977138,1000,158.890767
75.886394,995,159.945586
-45.376283,1000,162.36746
63.490844,930,163.40787
-156.143085,560,163.83687
102.552967,687,165.826535
-14.572693,1000,166.877821
105.287426,754,167.563156
147.613776,787,169.801368
163.412901,621,170.347683
-65.530671,474,170.733683
101.989507,663,172.646008
129.39715,565,173.155555
143.457559,578,173.607556
-61.88215,434,173.896568
132.860556,612,175.980007
-53.937546,483,176.242021
-89.83882,461,176.50301
163.105274,571,178.389362
135.122608,594,178.978047
-68.11924,369,179.202049
138.207471,598,179.686049
-115.78719,567,181.505458
185.357444,487,181.865458
111.644544,593,182.428023
123.732541,650,182.856026
-147.739008,554,184.645633
133.885348,566,185.166926
-143.849673,526,185.508926
115.994584,640,187.588344
150.456472,634,188.072696
-113.426791,453,188.376682
199.750965,564,188.712682
-112.741293,495,190.441046
-112.439399,512,190.771031
165.762678,681,191.287582
158.06528,575,191.722582
103.94412,600,193.709818
148.19782,654,194.256125
156.250102,753,194.910112
157.731202,581,196.786449
-54.531482,491,197.061871
115.173574,556,197.536871
-90.261271,403,197.816871
138.642542,657,199.837267
176.410204,644,200.300694
131.495627,620,200.804693
149.535884,596,202.759177
-177.256521,693,203.20382
-99.221834,651,203.615819
116.803162,729,205.762202
138.927182,540,206.079569
190.769631,527,206.51257
181.772414,656,207.036133
-36.750878,1000,209.606672
-102.591305,587,209.950283
154.860283,450,210.243853
-155.116872,518,212.091432
-147.861543,804,212.697419
188.554077,707,213.243836
-146.253312,661,215.263516
138.468165,612,215.811531
-96.109614,366,216.003711
153.244675,760,217.956512
-134.270711,399,218.17921
145.840888,843,218.853225
124.923988,509,219.203707
117.713936,547,221.060824
-93.476891,400,221.268837
119.335888,550,221.606824
-72.244978,402,221.852824
-46.395794,245,223.45515
12.567346,888,224.472709
-123.043015,1000,225.27011
101.336683,669,227.340783
36.112817,944,228.061399
107.069875,643,230.087687
75.78591,640,230.579688
-73.228041,207,230.672688
-149.345015,715,231.205276
134.717112,811,233.374601
103.643461,748,233.965326
92.758061,897,236.341254
-100.349969,214,236.444254
117.470118,913,237.706652
-123.081588,343,237.891666
-167.411721,410,238.108939
118.614639,511,240.005514
127.72879,715,240.712513
114.088509,563,241.109986
-89.680891,322,241.269986
-161.544027,398,242.967279
93.337305,959,243.646279
-77.890273,336,243.828277
103.488348,785,246.047279
48.190044,700,246.544279
-192.804636,464,246.844285
-70.019705,205,246.930886
109.414059,927,249.134533
-121.412177,621,249.602533
115.843884,624,250.199891
170.991644,614,252.261161
131.028159,803,252.894162
-71.517313,497,253.217667
-78.467359,224,253.316667
119.026998,592,255.374187
-94.606033,295,255.508188
-81.373089,250,255.626188
-88.570579,349,255.811188
-64.614589,227,255.91589
120.619532,617,257.904685
-170.257796,447,258.198101
31.579082,743,258.967603
-72.042437,201,259.05762
-125.653036,299,259.215606
153.966944,661,261.166147
168.381214,626,261.635152
-109.846206,462,261.893134
170.057614,632,263.987868
72.847037,576,264.368869
128.758452,954,265.073363
-67.689962,215,265.166363
95.580527,941,267.443747
-96.438961,381,267.662766
101.293953,821,268.205048
-75.707366,237,269.803137
86.249078,866,270.587459
-203.9917,640,271.040802
-172.865855,453,272.746891
-118.778159,244,272.867893
164.317894,853,273.489347
-178.309742,673,273.972737
149.605659,696,276.020081
-92.719251,152,276.08408
-158.440385,464,276.339081
164.099745,609,276.78408
67.381711,896,278.983785
-110.635515,516,279.466472
-122.554423,375,279.678476
81.663839,590,281.670855
88.151644,860,282.42515
-68.567428,215,282.521134
-92.808211,297,282.660133
-231.529404,526,282.989698
-65.827047,200,284.595813
-161.346998,396,284.859812
-84.450669,230,284.960231
-88.602645,373,285.207216
102.664226,787,286.038446
122.264876,569,287.966865
-152.600919,648,288.403889
-117.977306,360,288.589891
-77.772713,175,288.665903
77.860545,555,290.527367
-244.227497,784,291.068735
-85.645058,332,291.24172
119.908106,465,291.48472
-97.729241,339,291.65672
-63.083946,445,293.440907
-170.918877,650,293.839907
-141.364312,577,294.240331
123.584768,624,296.245957
141.08416,549,296.702945
126.735017,615,297.121345
